Id ,Year,Car_Name,Price,Location,Fuel_Type,Gear_Type
436,2017,Volkswagen Polo Comfortline 1.0 Petrol,"4,45,000",Gurugram,Petrol,Manual
437,2013,Maruti Suzuki Wagon R VXi,"2,45,000",Gurugram,Petrol,Manual
438,2013,Hyundai Verna 1.6 VTVT SX,"3,75,000",Gurugram,Petrol,Manual
439,2019,Honda WR-V VX Diesel,"6,95,000",Gurugram,Diesel,Manual
440,2014,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,"3,30,000",Gurugram,Petrol,Manual
441,2014,Honda Amaze 1.2 S i-VTEC,"3,45,000",Gurugram,Petrol,Manual
442,2015,Ford EcoSport Trend+ 1.0 EcoBoost,"3,95,000",Gurugram,Petrol,Manual
443,2016,Maruti Suzuki Swift DZire VXi,"4,48,000",Gurugram,Petrol,Manual
444,2020,Honda City 5th Generation V Petrol,"8,65,000",Gurugram,Petrol,Manual
445,2016,Hyundai Creta 1.6 SX Opt Diesel,"10,91,841",Delhi,Diesel,Manual
446,2021,Maruti Suzuki Ertiga VXI CNG,"10,43,341",Delhi,Petrol + Cng,Manual
447,2024,Honda Amaze 1.2 E MT Petrol,"7,26,512",Delhi,Petrol,Manual
448,2014,Maruti Suzuki Swift VDi,"4,10,000",Delhi,Diesel,Manual
449,2017,Honda Amaze 1.2 S i-VTEC,"5,95,000",Delhi,Petrol,Manual
450,2018,Maruti Suzuki Ciaz Alpha 1.4 MT,"7,85,000",Delhi,Petrol,Manual
451,2019,Hyundai Elantra 1.6 S MT,"12,75,000",Delhi,Diesel,Manual
452,2019,Toyota Corolla Altis 1.8 GL,"15,75,000",Delhi,Petrol,Manual
453,2017,Hyundai Creta 1.6 SX Diesel,"10,60,000",Delhi,Diesel,Manual
454,2013,Toyota Fortuner 2.8 4x2 AT,"12,90,000",Delhi,Diesel,Automatic
455,2015,Honda Brio S MT,"3,45,000",Delhi,Petrol,Manual
456,2017,Ford EcoSport TITANIUM 1.5 TDCI OPT,"6,60,000",Delhi,Diesel,Manual
457,2016,Maruti Suzuki Baleno Delta AT 1.2,"6,95,000",Delhi,Petrol,Automatic
458,2013,Renault Duster 85 PS RXE DIESEL ADVENTURE,"4,25,000",Delhi,Diesel,Manual
459,2018,Maruti Suzuki Ciaz Sigma 1.4 MT,"7,25,000",Delhi,Petrol,Manual
460,2020,Kia Seltos HTX 1.5 Petrol,"13,85,000",Delhi,Petrol,Manual
461,2018,Honda City S i-VTEC,"7,95,000",Delhi,Petrol,Manual
462,2018,Honda WR-V VX Diesel,"7,00,000",Delhi,Diesel,Manual
463,2018,Honda Jazz V CVT i-VTEC,"8,00,000",Delhi,Petrol,Automatic
464,2017,Maruti Suzuki Ertiga ZDi + SHVS,"9,70,000",Delhi,Diesel,Manual
465,2019,Toyota Fortuner Sigma 4,"32,85,000",Delhi,Diesel,Automatic
466,2017,Mahindra Scorpio S6 Plus 1.99,"10,40,000",Delhi,Diesel,Manual
467,2018,Toyota Innova Crysta 2.4 G 7 STR,"13,85,000",Delhi,Diesel,Manual
468,2021,Kia Seltos HTX 1.5 Petrol,"13,85,000",Delhi,Petrol,Manual
469,2015,Maruti Suzuki Ciaz VXi Plus,"5,75,000",Delhi,Petrol,Manual
470,2017,Maruti Suzuki Ciaz VDI PLUS,"7,60,000",Delhi,Diesel,Manual
471,2021,Toyota Innova Crysta 2.4 GX AT 7 STR BS6,"22,65,000",Delhi,Diesel,Automatic
472,2019,Tata Nexon Revotorq XM,"7,85,000",Delhi,Diesel,Manual
473,2017,Maruti Suzuki Ciaz ZXi AT,"8,25,000",Delhi,Petrol,Automatic
474,2023,Maruti Suzuki Grand Vitara Alpha Smart Hybrid,"17,90,000",Delhi,Hybrid,Manual
475,2019,Mahindra XUV500 W9,"13,00,000",Delhi,Diesel,Manual
476,2017,Maruti Suzuki Baleno Delta 1.2,"6,25,000",Delhi,Petrol,Manual
477,2017,Hyundai Grand i10 SPORTZ AT 1.2 KAPPA VTVT,"5,75,000",Delhi,Petrol,Automatic
478,2016,Maruti Suzuki Ciaz ZDI +,"7,50,000",Delhi,Diesel,Manual
479,2017,Honda Accord Hybrid,"17,95,000",Delhi,Petrol,Automatic
480,2018,Maruti Suzuki Ciaz Alpha 1.4 AT,"10,25,000",Delhi,Petrol,Automatic
481,2022,Skoda Octavia 2.0 Style,"23,55,000",Delhi,Petrol,Automatic
482,2019,Hyundai Creta 1.6 SX AT Petrol,"13,30,000",Delhi,Petrol,Automatic
483,2019,Hyundai Creta 1.6 SX+ AT Petrol,"13,00,000",Delhi,Petrol,Automatic
484,2019,Mahindra XUV500 W11,"14,00,000",Delhi,Diesel,Manual
485,2016,Honda City VX AT,"8,30,000",Delhi,Petrol,Automatic
486,2021,Mahindra Thar LX 4 STR Hard Top Diesel AT BS6,"13,80,000",Gurugram,Diesel,Automatic
487,2019,Ford Endeavour Titanium 2.2 4x2 MT,"22,50,000",Gurugram,Diesel,Manual
488,2016,Mahindra TUV300 T6 Plus,"4,80,000",Delhi,Diesel,Manual
489,2015,Hyundai Creta 1.6 SX+ Petrol,"8,10,000",Delhi,Petrol,Manual
490,2020,Kia Seltos HTK 1.5 Petrol,"8,60,000",Gurugram,Petrol,Manual
491,2018,Honda Amaze 1.5 V i-DTEC,"6,50,000",Delhi,Diesel,Manual
492,2014,Hyundai Grand i10 Asta AT 1.2 Kappa VTVT (O),"3,10,000",Gurugram,Petrol,Automatic
493,2015,Hyundai i20 Asta 1.4,"4,80,000",Delhi,Diesel,Manual
494,2015,Hyundai i20 Sportz 1.2,"4,70,000",Delhi,Petrol,Manual
495,2014,Maruti Suzuki Celerio Vxi,"2,83,000",Delhi,Petrol,Manual
496,2018,Maruti Suzuki Wagon R VXi,"3,80,000",Delhi,Petrol,Manual
497,2015,Honda Mobilio V i-VTEC,"4,80,000",Delhi,Petrol,Manual
498,2013,Hyundai Accent GL,"1,90,000",Delhi,Petrol,Manual
499,2013,Maruti Suzuki Swift DZire VXi,"2,90,000",Gurugram,Petrol,Manual
500,2017,Hyundai Grand i10 Magna 1.2 Kappa VTVT,"3,90,000",Delhi,Petrol,Manual
501,2013,Maruti Suzuki A-star Vxi AT,"2,50,000",Gurugram,Petrol,Automatic
502,2021,Hyundai Venue S Plus 1.2 Petrol BS6,"8,90,000",Delhi,Petrol,Manual
503,2016,Hyundai Creta 1.6 SX+ AT Diesel,"6,25,000",Gurugram,Diesel,Automatic
504,2023,Maruti Suzuki Brezza Zxi Dual Tone,"11,67,191",Delhi,Petrol,Manual
505,2018,Hyundai Creta 1.6 SX+ AT Diesel,"8,85,000",Gurugram,Diesel,Automatic
506,2015,Toyota Corolla Altis 1.8 GL,"7,30,000",Delhi,Petrol,Manual
507,2014,Renault Duster 110 PS RXL,"3,10,000",Delhi,Diesel,Manual
508,2015,Ford EcoSport Titanium 1.5L Ti-VCT,"3,95,000",Delhi,Petrol,Manual
509,2020,Tata Nexon XM (S) Petrol,"6,70,000",Delhi,Petrol,Manual
510,2023,Mahindra Thar LX 4 STR Hard Top Diesel MT,"15,50,000",Delhi,Diesel,Manual
511,2017,Toyota Innova Crysta 2.4 VX 7 STR,"13,50,000",Gurugram,Diesel,Manual
512,2018,Maruti Suzuki Alto 800 LXi,"3,10,000",Gurugram,Petrol,Manual
513,2021,Maruti Suzuki Swift LXi BS6,"5,50,000",Gurugram,Petrol,Manual
514,2015,Hyundai i20 Active 1.4 SX,"4,10,000",Gurugram,Diesel,Manual
515,2021,Maruti Suzuki Baleno Sigma 1.2,"5,50,000",Gurugram,Petrol,Manual
516,2013,Hyundai Eon Magna +,"2,25,000",Gurugram,Petrol,Manual
517,2017,Hyundai Creta 1.6 E+ Petrol,"8,00,000",Delhi,Petrol,Manual
518,2017,Hyundai Creta 1.6 SX AT Diesel,"7,50,000",Gurugram,Diesel,Automatic
519,2022,Mahindra XUV700 AX 7 Petrol AT 7 STR,"22,50,000",Delhi,Petrol,Automatic
520,2019,Honda City ZX CVT i-VTEC,"11,25,000",Delhi,Petrol,Automatic
521,2016,Maruti Suzuki Baleno Delta 1.2,"4,45,000",Gurugram,Petrol,Manual
522,2010,Tata Manza Aura ABS Quadrajet BS-IV,"1,85,000",Gurugram,Diesel,Manual
523,2016,Honda Amaze 1.2 S i-VTEC,"3,49,000",Gurugram,Petrol,Manual
524,2018,Toyota Yaris J AT,"7,10,000",Gurugram,Petrol,Automatic
525,2017,Maruti Suzuki Wagon R VXi,"3,25,000",Gurugram,Petrol,Manual
526,2016,Honda City VX (O) MT,"6,40,000",Gurugram,Petrol,Manual
527,2021,Kia Seltos HTX IVT 1.5 Petrol,"12,50,000",Delhi,Petrol,Automatic
528,2021,Hyundai Creta SX 1.5 Petrol BS6,"12,00,000",Delhi,Petrol,Manual
529,2018,Skoda Octavia 1.8 TSI L&K AT,"26,90,000",Mumbai,Petrol,Automatic
530,2016,Hyundai Elantra 2.0 SX (O) AT,"10,25,000",Delhi,Petrol,Automatic
531,2024,Hyundai Exter S 1.2 MT,"6,90,000",Delhi,Petrol,Manual
532,2022,Force Gurkha 4X4,"13,95,000",Mumbai,Diesel,Manual
533,2023,Hyundai Creta SX (O) 1.5 Petrol CVT,"18,50,000",Mumbai,Petrol,Automatic
534,2017,Maruti Suzuki Alto LXi BS-IV,"2,90,000",Gurugram,Petrol,Manual
535,2015,Maruti Suzuki Swift LXi,"3,70,000",Gurugram,Petrol,Manual
536,2019,Honda City V CVT i-VTEC,"8,50,000",Mumbai,Petrol,Automatic
537,2018,Maruti Suzuki Ignis Alpha 1.2 MT,"4,95,000",Gurugram,Petrol,Manual
538,2023,Volkswagen Taigun Topline 1.0 TSI AT,"14,75,000",Mumbai,Petrol,Automatic
539,2022,Maruti Suzuki Baleno Zeta 1.2,"7,10,000",Gurugram,Petrol,Manual
540,2012,Maruti Suzuki Swift DZire VXi,"2,90,000",Gurugram,Petrol,Manual
541,2021,MG Hector Sharp 1.5 Petrol CVT,"14,95,000",Mumbai,Petrol,Automatic
542,2011,Hyundai i20 Magna 1.2,"2,30,000",Gurugram,Petrol,Manual
543,2022,MG Astor Smart 1.5 CVT,"12,30,000",Mumbai,Petrol,Automatic
544,2020,Hyundai Creta 1.6 E+ Petrol,"8,90,000",Gurugram,Petrol,Manual
545,2022,Jeep Meridian Limited (O) 4X2 AT,"28,75,000",Delhi,Diesel,Automatic
546,2022,Toyota Innova Crysta 2.4 ZX AT 7 STR,"29,85,000",Delhi,Diesel,Automatic
547,2021,Mahindra Thar LX 4 STR Hard Top Petrol AT BS6,"13,30,000",Mumbai,Petrol,Automatic
548,2019,Honda City ZX i-VTEC,"10,20,000",Mumbai,Petrol,Manual
549,2022,Kia Carnival Limousine 7 STR,"32,65,000",Delhi,Diesel,Automatic
550,2017,Honda WR-V VX Petrol,"6,35,000",Mumbai,Petrol,Manual
551,2020,Maruti Suzuki XL6 Alpha AT Petrol,"10,95,000",Mumbai,Petrol,Automatic
552,2021,Maruti Suzuki XL6 Zeta AT Petrol,"10,95,000",Mumbai,Petrol,Automatic
553,2019,Maruti Suzuki Ciaz Alpha 1.4 AT,"8,50,000",Mumbai,Petrol,Automatic
554,2023,Skoda Kushaq Style 1.5L TSI MT,"16,65,000",Mumbai,Petrol,Manual
555,2016,Honda Jazz V AT,"5,40,000",Gurugram,Petrol,Automatic
556,2021,Hyundai Venue SX (O) 1.0 Turbo iMT BS6,"8,90,000",Gurugram,Petrol,Automatic
557,2018,Maruti Suzuki Vitara Brezza VDi AGS,"6,60,000",Gurugram,Diesel,Automated Manual Transmission
558,2022,Hyundai Creta S 1.5 Petrol,"12,50,000",Gurugram,Petrol,Manual
559,2020,Mahindra Bolero B6 BS6,"7,85,000",Gurugram,Diesel,Manual
560,2021,Kia Seltos HTX 1.5 Petrol,"12,25,000",Gurugram,Petrol,Manual
561,2022,Toyota Urban Cruiser Mid MT,"8,20,000",Gurugram,Petrol,Manual
562,2021,Maruti Suzuki Wagon R LXi (O) 1.0 CNG,"5,25,000",Gurugram,Petrol + Cng,Manual
563,2014,Maruti Suzuki SX4 VXi CNG,"2,70,000",Gurugram,Petrol + Cng,Manual
564,2019,Maruti Suzuki Swift ZXi Plus AMT,"6,30,000",Gurugram,Petrol,Automated Manual Transmission
565,2020,Hyundai Creta S 1.5 Petrol BS6,"10,65,000",Gurugram,Petrol,Manual
566,2022,Kia Carens Luxury 1.5 Diesel 7 STR,"15,90,000",Gurugram,Diesel,Manual
567,2020,Honda City 5th Generation VX Petrol,"9,50,000",Gurugram,Petrol,Manual
568,2017,Maruti Suzuki Dzire VXi,"4,60,000",Gurugram,Petrol,Manual
569,2012,Toyota Corolla Altis D 4D G,"3,35,000",Gurugram,Diesel,Manual
570,2024,Toyota Innova Hycross ZX (O) Hybrid 7 STR,"36,57,000",Mumbai,Hybrid,Automatic
571,2022,Tata Safari XT Plus Diesel,"17,40,000",Gurugram,Diesel,Manual
572,2008,Toyota Corolla H4 1.8 G,"2,95,000",Mumbai,Petrol,Automatic
573,2022,Kia Sonet HTE 1.5,"9,00,000",Mumbai,Diesel,Manual
574,2023,Tata Nexon Creative DT Petrol,"12,95,000",Mumbai,Petrol,Manual
575,2019,Maruti Suzuki Ertiga TOUR M CNG,"6,90,000",Gurugram,Petrol + Cng,Manual
576,2015,Maruti Suzuki Swift DZire VXi,"3,70,000",Gurugram,Petrol,Manual
577,2016,Honda Amaze 1.2 VX i-VTEC Opt,"4,15,000",Mumbai,Petrol,Manual
578,2021,Hyundai Creta SX (O) 1.5 Petrol CVT BS6,"16,20,000",Mumbai,Petrol,Automatic
579,2021,Toyota Innova Crysta 2.4 ZX AT 7 STR BS6,"20,80,000",Gurugram,Diesel,Automatic
580,2018,Maruti Suzuki Vitara Brezza ZDi,"6,20,000",Gurugram,Diesel,Manual
581,2020,Hyundai Elantra 1.5 SX (O) AT BS6,"13,50,000",Mumbai,Diesel,Automatic
582,2016,Maruti Suzuki Baleno Zeta 1.2,"5,40,000",Mumbai,Petrol,Manual
583,2022,Kia Sonet GTX Plus 1.5 AT,"12,80,000",Gurugram,Diesel,Automatic
584,2020,Hyundai Venue SX 1.0 Petrol,"9,00,000",Mumbai,Petrol,Manual
585,2018,Skoda Rapid 1.5 TDI CR Ambition AT,"8,75,000",Mumbai,Diesel,Automatic
586,2019,Skoda Kodiaq L&K 2.0 TDI 4x4 AT,"29,90,000",Mumbai,Diesel,Automatic
587,2020,Tata Nexon XZA Plus Petrol,"8,75,000",Mumbai,Petrol,Automated Manual Transmission
588,2014,Hyundai Xcent SX AT 1.2 OPT,"3,95,000",Delhi,Petrol,Automatic
589,2022,Skoda Octavia 2.0 L&K,"22,90,000",Mumbai,Petrol,Automatic
590,2017,Hyundai Tucson 2WD AT GLS Diesel,"15,65,000",Bangalore,Diesel,Automatic
591,2015,Maruti Suzuki Ciaz Zxi,"5,25,000",Bhopal,Petrol,Manual
592,2015,Honda Mobilio V i-VTEC,"5,00,000",Tiruchirappalli,Petrol,Manual
593,2014,Hyundai i10 Sportz 1.2,"3,45,000",Chennai,Petrol,Manual
594,2018,Honda City V CVT i-VTEC,"8,20,000",Kochi,Petrol,Automatic
595,2023,Hyundai Verna SX 1.5 Turbo Petrol MT,"12,50,000",Noida,Petrol,Manual
596,2010,Maruti Suzuki Alto K10 LXi,"1,70,000",Ahmedabad,Petrol,Manual
597,2013,Maruti Suzuki Ritz Vxi (ABS) BS-IV,"2,25,000",Ahmedabad,Petrol,Manual
598,2019,Honda City V i-VTEC,"7,85,000",Rajahmundry,Petrol,Manual
599,2019,Maruti Suzuki Baleno Sigma 1.2,"5,80,000",Delhi,Petrol,Manual
600,2013,Ford EcoSport TITANIUM 1.0 ECOBOOST,"4,10,000",Delhi,Petrol,Manual
601,2011,Hyundai i10 Magna,"2,00,000",Delhi,Petrol,Manual
602,2012,Maruti Suzuki Zen Estilo LXi,"2,20,000",Delhi,Petrol,Manual
603,2019,Hyundai Grand i10 Magna 1.2 Kappa VTVT,"5,10,000",Delhi,Petrol,Manual
604,2022,Tata Harrier XT,"17,00,000",Delhi,Diesel,Manual
605,2018,Hyundai Verna Fluidic 1.6 CRDI S AT,"8,40,000",Delhi,Diesel,Automatic
606,2012,Hyundai Eon Era,"3,30,000",Delhi,Petrol,Manual
607,2018,Hyundai Grand i10 Sportz 1.2 Kappa VTVT,"4,60,000",Delhi,Petrol,Manual
608,2017,Maruti Suzuki Swift DZire VXi,"5,40,000",Delhi,Petrol,Manual
609,2022,Maruti Suzuki Wagon R LXi 1.0 CNG,"5,80,000",Gurugram,Petrol + Cng,Manual
610,2011,Hyundai Santro Xing GL,"1,50,000",Delhi,Petrol,Manual
611,2021,Maruti Suzuki Wagon R LXi 1.0 CNG BS6,"5,30,000",Gurugram,Petrol + Cng,Manual
612,2016,Maruti Suzuki Swift DZire VDi,"4,20,000",Gurugram,Diesel,Manual
613,2023,Maruti Suzuki Swift VXi CNG,"9,10,000",Gurugram,Cng,Manual
614,2016,Mahindra TUV300 T8,"5,20,000",Delhi,Diesel,Manual
615,2017,Hyundai Elite i20 Magna 1.4 CRDi,"5,30,000",Gurugram,Diesel,Manual
616,2018,Maruti Suzuki Swift LXi,"5,50,000",Delhi,Petrol,Manual
617,2014,Hyundai Grand i10 Magna,"3,80,000",Gurugram,Petrol,Manual
618,2015,Honda Jazz S i-VTEC,"3,90,000",Delhi,Petrol,Manual
619,2019,Maruti Suzuki Alto 800 LXi CNG,"2,90,000",Gurugram,Petrol + Cng,Manual
620,2017,Datsun Redi-GO 1.0 S,"2,50,000",Delhi,Petrol,Manual
621,2023,Mahindra Thar LX 4 STR Hard Top Diesel MT,"16,50,000",Gurugram,Diesel,Manual
622,2021,Kia Sonet HTK Plus 1.0 iMT,"9,25,000",Gurugram,Petrol,Manual
623,2022,Renault Triber RXT,"5,49,000",Gurugram,Petrol,Manual
624,2015,Hyundai Creta 1.6 SX Petrol,"7,10,000",Delhi,Petrol,Manual
625,2011,Maruti Suzuki Alto K10 VXi,"1,85,000",Delhi,Petrol,Manual
626,2019,Maruti Suzuki Ertiga VXi,"8,20,000",Delhi,Petrol,Manual
627,2020,Mahindra Thar LX 4 STR Hard Top Diesel MT BS6,"11,50,000",Delhi,Diesel,Manual
628,2014,SKODA SUPERB Elegance 1.8 TSI AT,"5,00,000",Delhi,Petrol,Automatic
629,2020,Maruti Suzuki Baleno Zeta 1.2,"6,50,000",Delhi,Petrol,Manual
630,2014,Toyota Innova 2.5 G 8 STR BS III,"6,35,000",Mumbai,Diesel,Manual
631,2011,Maruti Suzuki Zen Estilo LXI CNG BS IV,"2,00,000",Delhi,Petrol + Cng,Manual
632,2021,Maruti Suzuki S-Presso LXi CNG,"5,30,000",Delhi,Petrol + Cng,Manual
633,2019,Maruti Suzuki Baleno Delta 1.2,"5,65,000",Gurugram,Petrol,Manual
634,2020,Renault KWID 1.0 RXT,"3,40,000",Delhi,Petrol,Manual
635,2022,Tata Nexon XM (S) Petrol,"8,99,000",Gurugram,Petrol,Manual
636,2015,Mahindra Thar 4X4,"4,80,000",Delhi,Diesel,Manual
637,2019,Maruti Suzuki Dzire Tour S DIESEL,"5,25,000",Gurugram,Diesel,Manual
638,2017,Renault Lodgy 110 PS RXZ 7 STR,"5,50,000",Delhi,Diesel,Manual
639,2017,Hyundai Creta 1.6 SX AT Diesel,"7,50,000",Gurugram,Diesel,Automatic
640,2019,Maruti Suzuki Dzire Tour S DIESEL,"5,25,000",Gurugram,Diesel,Manual
641,2021,Tata Harrier XT Plus BS6,"15,50,000",Gurugram,Diesel,Manual
642,2019,Maruti Suzuki S-Presso VXi,"4,70,000",Delhi,Petrol,Manual
643,2020,Maruti Suzuki Eeco Flexi green CNG,"4,65,000",Gurugram,Petrol + Cng,Manual
644,2018,Volkswagen Polo Comfortline 1.0 Petrol,"4,50,000",Delhi,Petrol,Manual
645,2019,Maruti Suzuki Wagon R LXi CNG,"4,75,000",Gurugram,Petrol + Cng,Manual
646,2019,Toyota Fortuner 2.7 4x2 AT,"29,75,000",Delhi,Petrol,Automatic
647,2022,Skoda Kushaq Ambition 1.0L TSI AT,"14,85,000",Delhi,Petrol,Automatic
648,2018,Honda WR-V S Petrol,"6,25,000",Delhi,Petrol,Manual
649,2019,Hyundai Venue S 1.0 Petrol,"8,45,000",Delhi,Petrol,Manual
650,2014,Hyundai Elite i20 Sportz 1.2,"4,25,000",Delhi,Petrol,Manual
651,2021,MG Hector Sharp 1.5 DCT Petrol,"17,95,000",Delhi,Petrol,Automatic
652,2011,Toyota Corolla Altis 1.8 V AT,"2,65,000",Mango,Petrol,Automatic
653,2018,Honda Amaze 1.5 V i-DTEC,"7,25,000",Delhi,Diesel,Manual
654,2016,Maruti Suzuki Baleno Alpha 1.2,"6,75,000",Delhi,Petrol,Manual
655,2010,Honda Accord 2.4 VTI L AT,"2,65,000",Mumbai,Petrol,Automatic
656,2014,Honda City SV i-VTEC,"5,25,000",Delhi,Petrol,Manual
657,2016,Mahindra XUV500 W10 AT,"12,50,000",Delhi,Diesel,Automatic
658,2020,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,"5,50,000",Mango,Petrol,Manual
659,2023,Hyundai Venue SX (O) 1.0 Turbo DCT,"13,85,000",Delhi,Petrol,Automatic
660,2011,Maruti Suzuki Wagon R LXi,"1,75,000",Mumbai,Petrol,Manual
661,2015,Honda Jazz S CVT i-VTEC,"5,65,000",Delhi,Petrol,Automatic
662,2010,Nissan Micra XL PETROL,"1,55,000",Mumbai,Petrol,Manual
663,2022,Skoda Kushaq Style 1.0L TSI AT,"14,85,000",Delhi,Petrol,Automatic
664,2013,Chevrolet Beat LT Petrol,"1,75,000",Mango,Petrol,Manual
665,2020,Maruti Suzuki XL6 Alpha AT Petrol,"11,35,000",Delhi,Petrol,Automatic
666,2013,Hyundai Verna 1.4 VTVT,"4,75,000",Delhi,Petrol,Manual
667,2016,Maruti Suzuki Baleno Delta 1.2,"4,97,000",Delhi,Petrol,Manual
668,2018,Honda Amaze 1.2 V i-VTEC,"6,85,000",Delhi,Petrol,Manual
669,2020,Honda City 5th Generation V Petrol,"11,65,000",Delhi,Petrol,Manual
670,2013,Honda City S i-VTEC,"3,60,000",Mumbai,Petrol,Manual
671,2016,Ford EcoSport Trend 1.5L TDCi,"4,85,000",Delhi,Diesel,Manual
672,2010,Ford Figo Duratorq EXI,"1,50,000",Mango,Diesel,Manual
673,2012,Hyundai i20 Era 1.2,"2,35,000",Mango,Petrol,Manual
674,2020,Hyundai Santro SPORTZ CNG,"4,65,000",Gurugram,Petrol + Cng,Manual
675,2011,Volkswagen Polo Trendline 1.2L (P),"2,15,000",Delhi,Petrol,Manual
676,2020,Toyota Innova Crysta 2.4 GX 7 STR,"16,75,000",Gurugram,Diesel,Manual
677,2019,Toyota Yaris VX AT,"8,00,000",Mumbai,Petrol,Automatic
678,2023,Kia Sonet HTK 1.2,"9,25,000",Gurugram,Petrol,Manual
679,2016,Maruti Suzuki Ciaz Zxi,"6,85,000",Delhi,Petrol,Manual
680,2015,Honda Amaze 1.2 S i-VTEC,"4,65,000",Delhi,Petrol,Manual
681,2017,Toyota Fortuner 2.7 4x2 AT,"20,99,000",Gurugram,Petrol,Automatic
682,2022,Honda City 5th Generation VX Petrol,"14,50,000",Delhi,Petrol,Manual
683,2011,Honda City V MT CNG,"2,60,000",Delhi,Petrol + Cng,Manual
684,2016,Honda City VX CVT i-VTEC,"7,95,000",Delhi,Petrol,Automatic
685,2019,Ford Aspire Titanium Plus 1.5 TDCi,"4,75,000",Gurugram,Diesel,Manual
686,2019,Honda City SV i-VTEC,"9,25,000",Delhi,Petrol,Manual
687,2022,Tata Punch Creative MT,"7,75,000",Gurugram,Petrol,Manual
688,2022,Honda City 5th Generation ZX CVT Petrol,"16,85,000",Delhi,Petrol,Automatic
689,2014,Honda City VX AT,"5,65,000",Mumbai,Petrol,Automatic
690,2021,Tata Tiago XT (O),"4,99,000",Gurugram,Petrol,Manual
691,2016,Maruti Suzuki Ertiga VXi CNG,"6,45,000",Delhi,Petrol + Cng,Manual
692,2019,Maruti Suzuki Wagon R LXi CNG,"4,55,000",Gurugram,Petrol + Cng,Manual
693,2007,Mahindra Scorpio 2.6 CRDE,"2,75,000",Delhi,Diesel,Manual
694,2017,Mahindra XUV500 W6,"9,75,000",Delhi,Diesel,Manual
695,2019,Maruti Suzuki Wagon R LXi CNG,"4,55,000",Gurugram,Petrol + Cng,Manual
696,2017,Mahindra Scorpio S4 Plus,"10,25,000",Delhi,Diesel,Manual
697,2023,Kia Sonet HTE 1.5 Diesel iMT,"9,30,000",Delhi,Diesel,Manual
698,2018,Maruti Suzuki Swift VXi AMT,"5,50,000",Gurugram,Petrol,Automated Manual Transmission
699,2019,Honda Amaze 1.2 V i-VTEC,"6,40,000",Gurugram,Petrol,Manual
700,2022,Hyundai Creta EX 1.5 Diesel,"12,50,000",Gurugram,Diesel,Manual
701,2023,Maruti Suzuki Baleno Delta 1.2,"7,40,000",Gurugram,Petrol,Manual
702,2022,Maruti Suzuki Wagon R VXi 1.0,"5,60,000",Gurugram,Petrol,Manual
703,2016,Ford Endeavour Titanium 3.2 4x4 AT,"18,50,000",Gurugram,Diesel,Automatic
704,2021,Honda City 5th Generation VX Petrol,"9,60,000",Gurugram,Petrol,Manual
705,2015,Honda City VX,"5,00,000",Delhi,Petrol,Manual
706,2018,Maruti Suzuki Ciaz ZXi+,"6,00,000",Delhi,Petrol,Manual
707,2014,Ford EcoSport TITANIUM 1.5 TDCI OPT,"3,75,000",Delhi,Diesel,Manual
708,2023,Maruti Suzuki Jimny Alpha AT,"14,00,000",Delhi,Petrol,Automatic
709,2023,MG Hector Sharp Pro 1.5 Petrol Turbo CVT,"20,50,000",Delhi,Petrol,Automatic
710,2011,Skoda Fabia AMBIENTE 1.2 TDI,"1,45,000",Delhi,Diesel,Manual
711,2014,Maruti Suzuki Ritz VXi,"2,45,000",Delhi,Petrol,Manual
712,2012,Tata Manza Aura Plus Safire BS-IV,"1,65,000",Delhi,Petrol,Manual
713,2020,Tata Altroz XZ Petrol,"5,99,000",Delhi,Petrol,Manual
714,2007,Maruti Suzuki Esteem VXi,"65,000",Delhi,Petrol,Manual
715,2018,Maruti Suzuki Baleno Zeta AT 1.2,"6,00,000",Delhi,Petrol,Automatic
716,2011,Honda Accord 2.4 AT,"3,88,888",Delhi,Petrol,Automatic
717,2022,Maruti Suzuki Baleno Zeta 1.2 AT,"7,49,999",Delhi,Petrol,Automatic
718,2017,Maruti Suzuki Baleno Zeta 1.2,"5,00,000",Delhi,Petrol,Manual
719,2022,Mahindra Thar LX 4 STR Hard Top Diesel AT,"17,25,000",Delhi,Diesel,Automatic
720,2016,Isuzu D-Max V-Cross 4X4,"12,75,000",Delhi,Diesel,Manual
721,2020,Honda BR-V V Diesel,"9,65,000",Delhi,Diesel,Manual
722,2014,Mahindra XUV500 W8,"7,95,000",Delhi,Diesel,Manual
723,2018,Toyota Innova Crysta 2.7 GX AT 7 STR,"16,95,000",Delhi,Petrol,Automatic
724,2016,Hyundai Creta 1.6 SX Petrol,"9,85,000",Delhi,Petrol,Manual
725,2014,Mahindra XUV500 W6,"7,95,000",Delhi,Diesel,Manual
726,2018,Toyota Innova Crysta 2.4 G 7 STR,"15,95,000",Delhi,Diesel,Manual
727,2017,Toyota Innova Crysta 2.8 GX AT 7 STR,"17,85,000",Delhi,Diesel,Automatic
728,2018,Toyota Innova Crysta 2.4 G Plus 8 STR,"16,75,000",Delhi,Diesel,Manual
729,2019,Honda BR-V V CVT Petrol,"8,75,000",Delhi,Petrol,Automatic
730,2018,Ford Endeavour Titanium 3.2 4x4 AT,"25,75,000",Delhi,Diesel,Automatic
731,2017,Mahindra TUV300 T8,"6,55,000",Delhi,Diesel,Manual
