Id ,Year,Car_Name,Price,Location,Fuel_Type,Gear_Type
212,2015,Honda Jazz VX i-VTEC,"3,75,000",Gurugram,Petrol,Manual
213,2021,Volkswagen Polo Trendline 1.0L MPI,"5,60,000",Gurugram,Petrol,Manual
214,2015,Honda City SV i-VTEC,"4,75,000",Gurugram,Petrol,Manual
215,2018,Honda Amaze 1.2 VX i-VTEC,"4,60,000",Gurugram,Petrol,Manual
216,2016,Hyundai Verna FLUIDIC 1.6 EX VTVT,"4,75,000",Gurugram,Petrol,Manual
217,2021,Mahindra XUV300 W8 Petrol,"7,70,000",Gurugram,Petrol,Manual
218,2012,Volkswagen Polo Trendline 1.2L (P),"2,35,000",Gurugram,Petrol,Manual
219,2014,Volkswagen Vento Highline Petrol,"3,95,000",Gurugram,Petrol,Manual
220,2016,Honda Amaze 1.2 S i-VTEC,"3,95,000",Gurugram,Petrol,Manual
221,2015,Honda City SV CVT i-VTEC,"4,95,000",Gurugram,Petrol,Automatic
222,2014,Honda Amaze 1.2 S i-VTEC,"3,30,000",Gurugram,Petrol,Manual
223,2021,Honda Amaze 1.2 VX CVT Petrol BS6,"7,45,000",Gurugram,Petrol,Automatic
224,2018,Maruti Suzuki Wagon R LXi CNG,"3,90,000",Delhi,Petrol + Cng,Manual
225,2020,Tata Harrier Dark Edition,"13,65,000",Ghaziabad,Diesel,Manual
226,2016,Maruti Suzuki Ciaz Vxi,"6,45,000",Ghaziabad,Petrol,Manual
227,2013,Maruti Suzuki Wagon R LXi CNG,"2,40,000",Delhi,Petrol + Cng,Manual
228,2016,Mahindra Scorpio S6 Plus,"9,75,000",Ghaziabad,Diesel,Manual
229,2015,Toyota Etios Cross 1.2 G,"3,90,000",Delhi,Petrol,Manual
230,2020,Maruti Suzuki XL6 Zeta MT Petrol,"10,25,000",Ghaziabad,Petrol,Manual
231,2018,Skoda Octavia 1.8 TSI L&K AT,"15,95,000",Ghaziabad,Petrol,Automatic
232,2020,Maruti Suzuki Baleno Zeta 1.2,"6,40,000",Delhi,Petrol,Manual
233,2020,MG Hector Sharp 1.5 DCT Petrol,"16,75,000",Ghaziabad,Petrol,Automatic
234,2016,Honda Amaze 1.2 S i-VTEC,"4,25,000",Delhi,Petrol,Manual
235,2019,Hyundai Grand i10 Nios Sportz 1.2 Kappa VTVT,"6,25,000",Ghaziabad,Petrol,Manual
236,2017,Maruti Suzuki Celerio VXi CNG,"4,85,000",Ghaziabad,Petrol + Cng,Manual
237,2021,Hyundai Verna SX 1.5 VTVT BS6,"10,75,000",Delhi,Petrol,Manual
238,2018,Volkswagen Vento 1.2L TSI Highline Plus AT,"9,85,000",Ghaziabad,Petrol,Automatic
239,2019,Honda Amaze 1.2 S i-VTEC Opt,"6,85,000",Ghaziabad,Petrol,Manual
240,2022,Mahindra Thar LX 4 STR Hard Top Diesel AT,"17,65,000",Ghaziabad,Diesel,Automatic
241,2020,Honda City ZX i-VTEC,"12,85,000",Ghaziabad,Petrol,Manual
242,2018,Maruti Suzuki Ciaz Delta 1.4 MT,"6,85,000",Ghaziabad,Petrol,Manual
243,2022,Hyundai Creta S Plus 1.5 Petrol Knight,"13,50,000",Delhi,Petrol,Manual
244,2017,Isuzu MU-X 4x4,"15,85,000",Ghaziabad,Diesel,Automatic
245,2016,Honda City 1.5 V MT,"5,75,000",Delhi,Petrol,Manual
246,2016,Maruti Suzuki Wagon R LXi,"3,15,000",Delhi,Petrol,Manual
247,2019,Honda Jazz V CVT i-VTEC,"7,35,000",Ghaziabad,Petrol,Automatic
248,2018,Mahindra Scorpio S5 2WD,"11,85,000",Ghaziabad,Diesel,Manual
249,2022,Maruti Suzuki Baleno Sigma 1.2,"6,10,000",Delhi,Petrol,Manual
250,2021,Kia Sonet HTE 1.5,"8,75,000",Ghaziabad,Diesel,Manual
251,2016,Hyundai Creta 1.6 SX AT Petrol,"10,68,000",Ghaziabad,Petrol,Automatic
